nasdaq_Date,nasdaq_Open,nasdaq_High,nasdaq_Low,nasdaq_Close,nasdaq_Adj_Close,nasdaq_Volume,gold_Name,gold_US dollar,gold_Euro,gold_Japanese yen,gold_Pound sterling,gold_Canadian dollar,gold_Swiss franc,gold_Indian rupee,gold_Chinese renmimbi,gold_Turkish lira,gold_Saudi riyal,gold_Indonesian rupiah,gold_UAE dirham,gold_Thai baht,gold_Vietnamese dong,gold_Egyptian pound,gold_Korean won,gold_Russian ruble,gold_South African rand,gold_Australian dollar,btc_Date,btc_Unix_Timestamp,btc_Symbol,btc_Open,btc_High,btc_Low,btc_Close,btc_Volume_btc,btc_Volume_USDT,eth_Date,eth_Unix_Timestamp,eth_Symbol,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume_btc,eth_Volume_USDT
8/1/2017,6372.160156,6375.75,6345.75,6362.939941,6362.939941,1812590000,1-Aug,"1,271.00","1,076.20","140,001.50",960.6,"1,587.00","1,227.40","81,431.30","8,539.40","4,468.90","4,766.30","16,931,595.30","4,668.10","42,303.60","28,884,244.10","22,686.40","1,425,052.60","76,298.30","16,848.10","1,591.20",,,,,,,,,,,,,,,,,,
8/2/2017,6393.100098,6394.209961,6313.430176,6362.649902,6362.649902,2104130000,2-Aug,"1,269.60","1,070.80","140,151.10",960.1,"1,596.70","1,228.10","80,777.70","8,534.50","4,483.20","4,761.30","16,916,148.50","4,663.30","42,258.60","28,858,639.50","22,630.60","1,426,966.70","77,067.90","16,831.00","1,592.80",,,,,,,,,,,,,,,,,,
8/3/2017,6366.240234,6368.529785,6331.140137,6340.339844,6340.339844,2113440000,3-Aug,"1,268.10","1,067.50","139,573.40",964.9,"1,592.40","1,227.80","80,744.70","8,525.80","4,487.70","4,755.60","16,894,894.40","4,657.70","42,177.00","28,828,348.00","22,572.20","1,431,430.90","76,329.30","16,978.30","1,594.50",,,,,,,,,,,,,,,,,,
8/4/2017,6350.790039,6361.490234,6329.72998,6351.560059,6351.560059,1907170000,4-Aug,"1,257.70","1,070.30","139,460.10",964.6,"1,591.20","1,223.70","80,027.40","8,449.10","4,444.50","4,716.70","16,747,532.60","4,619.50","41,821.70","28,593,808.40","22,387.00","1,414,849.50","75,488.70","16,941.20","1,589.30",,,,,,,,,,,,,,,,,,
8/5/2017,,,,,,,5-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2017,,,,,,,6-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2017,6361.060059,6386.029785,6356.22998,6383.77002,6383.77002,1701550000,7-Aug,"1,258.00","1,066.50","139,417.90",966,"1,596.00","1,223.30","80,287.10","8,451.60","4,441.70","4,717.90","16,757,818.00","4,620.60","41,926.60","28,597,485.00","22,379.80","1,418,017.50","75,574.40","16,676.40","1,591.00",,,,,,,,,,,,,,,,,,
8/8/2017,6373.330078,6423.350098,6355.879883,6370.459961,6370.459961,1914670000,8-Aug,"1,261.80","1,075.10","139,782.20",973.7,"1,600.40","1,231.80","80,300.90","8,458.90","4,454.20","4,732.00","16,799,602.60","4,634.60","41,968.70","28,682,602.30","22,415.90","1,419,777.10","75,568.40","16,685.00","1,598.20",,,,,,,,,,,,,,,,,,
8/9/2017,6322.919922,6355.040039,6309.439941,6352.330078,6352.330078,2033760000,9-Aug,"1,271.10","1,082.50","139,834.50",978.4,"1,615.50","1,227.70","81,143.80","8,489.70","4,498.50","4,766.80","16,959,617.50","4,668.50","42,287.80","28,889,691.00","22,586.50","1,442,832.10","76,372.60","17,129.00","1,615.30",,,,,,,,,,,,,,,,,,
8/10/2017,6312.649902,6318.279785,6214.410156,6216.870117,6216.870117,2204700000,10-Aug,"1,284.40","1,093.20","140,468.40",988.8,"1,631.80","1,238.10","82,272.20","8,554.20","4,535.40","4,816.80","17,130,041.50","4,717.60","42,706.30","29,193,767.60","22,830.20","1,466,720.40","76,934.80","17,156.40","1,628.00",,,,,,,,,,,,,,,,,,
8/11/2017,6222.180176,6266.890137,6216.189941,6256.560059,6256.560059,1794850000,11-Aug,"1,286.10","1,090.70","140,371.40",991.1,"1,631.40","1,238.20","82,479.20","8,574.30","4,548.30","4,823.10","17,186,152.30","4,723.80","42,750.00","29,229,834.40","22,860.40","1,470,719.20","77,039.00","17,339.80","1,633.50",,,,,,,,,,,,,,,,,,
8/12/2017,,,,,,,12-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2017,,,,,,,13-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2017,6306.109863,6346.830078,6305.549805,6340.22998,6340.22998,1698560000,14-Aug,"1,282.30","1,088.20","140,373.30",987.5,"1,626.50","1,244.00","82,217.90","8,551.30","4,518.70","4,808.90","17,116,778.90","4,709.90","42,623.60","29,143,468.80","22,773.60","1,461,437.00","76,412.20","17,053.00","1,630.10",,,,,,,,,,,,,,,,,,
8/15/2017,6350.509766,6350.740234,6324.75,6333.009766,6333.009766,1580060000,15-Aug,"1,270.30","1,084.00","140,438.00",988.3,"1,620.60","1,235.80","81,448.40","8,482.80","4,492.90","4,763.90","16,968,664.80","4,665.80","42,262.90","28,870,738.80","22,538.30","1,447,760.60","76,042.60","16,933.10","1,624.50",,,,,,,,,,,,,,,,,,
8/16/2017,6348.109863,6374.560059,6330.27002,6345.109863,6345.109863,1804730000,16-Aug,"1,272.80","1,087.50","141,020.70",988.8,"1,616.70","1,241.30","81,658.00","8,521.10","4,485.20","4,773.10","17,027,485.90","4,674.80","42,369.80","28,926,425.60","22,584.90","1,452,971.20","75,505.10","16,824.20","1,614.50",,,,,,,,,,,,,,,,,,
8/17/2017,6322.720215,6334.22998,6221.910156,6221.910156,6221.910156,2041220000,17-Aug,"1,285.20","1,094.40","141,270.10",997.2,"1,625.50","1,239.10","82,453.60","8,575.60","4,519.60","4,819.60","17,193,378.00","4,720.40","42,746.00","29,205,031.50","22,811.40","1,461,408.10","76,098.60","16,944.70","1,623.00",8/17/2017,1502928000,BTCUSDT,4469.93,4485.39,4200.74,4285.08,647.86,2812379.11,8/17/2017,1502928000,ETHUSDT,303.61,312.18,298.21,302,6155.32,1890017.53
8/18/2017,6222.459961,6254.220215,6193.379883,6216.529785,6216.529785,1964590000,18-Aug,"1,295.80","1,102.80","140,989.50","1,007.80","1,632.70","1,246.20","83,089.90","8,655.40","4,560.20","4,859.60","17,314,477.00","4,759.50","43,040.60","29,450,938.00","23,026.40","1,478,960.90","76,918.70","17,119.10","1,637.70",8/18/2017,1503014400,BTCUSDT,4285.08,4371.52,3938.77,4108.37,1178.07,4994493.56,8/18/2017,1503014400,ETHUSDT,302,311.79,283.94,293.96,9392.79,2815460.24
8/19/2017,,,,,,,19-Aug,,,,,,,,,,,,,,,,,,,,8/19/2017,1503100800,BTCUSDT,4108.37,4184.69,3850,4139.98,371.15,1508239.39,8/19/2017,1503100800,ETHUSDT,293.96,299.9,278,290.91,2140.08,618248.58
8/20/2017,,,,,,,20-Aug,,,,,,,,,,,,,,,,,,,,8/20/2017,1503187200,BTCUSDT,4139.98,4211.08,4032.62,4086.29,463.54,1915636.35,8/20/2017,1503187200,ETHUSDT,290.91,300.53,282.85,299.1,2469.49,730800.66
8/21/2017,6216.319824,6226.930176,6177.189941,6213.129883,6213.129883,1576070000,21-Aug,"1,292.90","1,094.10","140,609.30","1,001.80","1,626.90","1,241.60","82,897.50","8,623.60","4,518.90","4,848.60","17,260,860.20","4,748.80","43,013.50","29,384,382.50","22,929.60","1,472,418.90","76,332.80","17,027.50","1,628.20",8/21/2017,1503273600,BTCUSDT,4086.29,4119.62,3911.79,4016,685.12,2770592.06,8/21/2017,1503273600,ETHUSDT,299.1,346.52,294.6,323.29,5134.54,1661944.36
8/22/2017,6241.209961,6302.839844,6241.209961,6297.47998,6297.47998,1597700000,22-Aug,"1,284.20","1,091.60","140,549.30","1,000.60","1,610.60","1,243.00","82,357.30","8,552.80","4,491.20","4,816.00","17,135,080.00","4,716.90","42,699.70","29,187,938.60","22,765.70","1,456,089.90","75,771.00","16,965.10","1,620.70",8/22/2017,1503360000,BTCUSDT,4016,4104.82,3400,4040,939.91,3648726.5,8/22/2017,1503360000,ETHUSDT,323.29,330.41,144.21,309.8,7807.91,2408767.25
8/23/2017,6263.470215,6291.299805,6263.290039,6278.410156,6278.410156,1533220000,23-Aug,"1,286.70","1,089.00","140,296.30","1,005.60","1,616.60","1,241.50","82,500.00","8,573.70","4,490.80","4,825.20","17,179,992.80","4,726.00","42,922.60","29,248,768.90","22,825.20","1,456,294.50","76,033.80","17,003.10","1,629.40",8/23/2017,1503446400,BTCUSDT,4040,4265.8,4013.89,4114.01,980.5,4062506.52,8/23/2017,1503446400,ETHUSDT,309.8,324.99,309.41,315.74,8532.37,2711275.03
8/24/2017,6294.819824,6302.850098,6244.569824,6271.330078,6271.330078,1616780000,24-Aug,"1,289.00","1,091.90","140,971.50","1,007.20","1,614.20","1,243.30","82,544.30","8,585.60","4,489.50","4,834.10","17,206,861.00","4,734.40","42,981.70","29,309,926.50","22,863.60","1,453,992.00","76,263.70","17,000.30","1,630.90",8/24/2017,1503532800,BTCUSDT,4114.01,4371.68,4085.01,4316.01,770.46,3225405.8,8/24/2017,1503532800,ETHUSDT,315.74,328.04,314.01,323.42,6608.08,2113017.42
8/25/2017,6293.810059,6308.720215,6257.100098,6265.640137,6265.640137,1442900000,25-Aug,"1,285.30","1,082.60","140,425.40",998,"1,606.10","1,231.80","82,307.40","8,565.90","4,435.30","4,820.10","17,153,611.20","4,721.00","42,806.90","29,220,648.40","22,753.00","1,450,139.50","75,607.80","16,806.90","1,618.80",8/25/2017,1503619200,BTCUSDT,4316.01,4453.91,4247.48,4280.68,563.36,2440323.79,8/25/2017,1503619200,ETHUSDT,323.42,338.28,323.42,327.24,7026.71,2321556.04
8/26/2017,,,,,,,26-Aug,,,,,,,,,,,,,,,,,,,,8/26/2017,1503705600,BTCUSDT,4280.68,4367,4212.41,4337.44,225.76,967753.32,8/26/2017,1503705600,ETHUSDT,327.24,335.44,323.41,330.79,4821.82,1583578.33
8/27/2017,,,,,,,27-Aug,,,,,,,,,,,,,,,,,,,,8/27/2017,1503792000,BTCUSDT,4337.44,4400,4285.54,4310.01,347.47,1507589.96,8/27/2017,1503792000,ETHUSDT,330.79,348.13,330.73,348.13,4580.62,1536125.51
8/28/2017,6286.009766,6292.259766,6267.850098,6283.02002,6283.02002,1558690000,28-Aug,"1,285.30","1,075.10","140,367.60",994.1,"1,603.40","1,227.50","82,133.90","8,524.80","4,426.80","4,820.20","17,145,256.70","4,720.80","42,697.60","29,218,720.50","22,717.70","1,439,407.10","75,238.20","16,768.30","1,616.70",8/28/2017,1503878400,BTCUSDT,4310.01,4399.82,4124.54,4386.69,593.15,2546618.75,8/28/2017,1503878400,ETHUSDT,348.13,351,331.95,346,4230.19,1447042.11
8/29/2017,6228.899902,6311.259766,6228.72998,6301.890137,6301.890137,1637640000,29-Aug,"1,318.70","1,096.50","143,403.20","1,018.30","1,649.00","1,249.00","84,420.00","8,699.80","4,538.10","4,945.20","17,592,108.40","4,843.30","43,733.00","29,973,571.60","23,313.70","1,485,195.10","77,521.00","17,122.70","1,652.60",8/29/2017,1503964800,BTCUSDT,4386.69,4625.85,4313.55,4587.48,594.12,2640584.83,8/29/2017,1503964800,ETHUSDT,346,377.6,346,374.7,2900.75,1054485.89
8/30/2017,6308.680176,6374.470215,6303.569824,6368.310059,6368.310059,1712070000,30-Aug,"1,308.50","1,098.20","144,222.90","1,012.70","1,650.70","1,255.20","83,698.20","8,626.40","4,512.70","4,907.10","17,458,988.40","4,806.30","43,468.40","29,741,550.80","23,108.10","1,471,015.60","76,440.90","17,031.00","1,655.60",8/30/2017,1504051200,BTCUSDT,4587.48,4647.51,4416.01,4555.14,790.13,3600737.68,8/30/2017,1504051200,ETHUSDT,374.7,393.71,362.05,385.93,4331.81,1636125.32
8/31/2017,6385.799805,6435.27002,6383.580078,6428.660156,6428.660156,1885710000,31-Aug,"1,311.80","1,103.30","144,371.20","1,018.00","1,644.60","1,260.60","83,855.20","8,653.50","4,528.90","4,919.30","17,501,368.50","4,818.20","43,556.60","29,818,045.10","23,165.50","1,479,129.10","76,179.90","17,049.50","1,653.90",8/31/2017,1504137600,BTCUSDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,8/31/2017,1504137600,ETHUSDT,385.93,389.36,377.78,384.79,4375.31,1681160.72
9/1/2017,6442.169922,6449.649902,6417.870117,6435.330078,6435.330078,1488040000,1-Sep,"1,320.40","1,111.50","145,501.50","1,017.80","1,634.70","1,271.10","84,535.10","8,673.10","4,518.20","4,952.00","17,616,775.50","4,850.00","43,810.90","30,012,029.60","23,295.10","1,482,544.80","75,906.50","17,015.00","1,655.50",9/1/2017,1504224000,BTCUSDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29,9/1/2017,1504224000,ETHUSDT,384.79,394.39,383.18,388.46,4156.84,1618914.43
9/2/2017,,,,,,,2-Sep,,,,,,,,,,,,,,,,,,,,9/2/2017,1504310400,BTCUSDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36,9/2/2017,1504310400,ETHUSDT,388.46,394.32,320.08,343.14,7919.71,2791543.78
9/3/2017,,,,,,,3-Sep,,,,,,,,,,,,,,,,,,,,9/3/2017,1504396800,BTCUSDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5,9/3/2017,1504396800,ETHUSDT,343.14,367.28,320.08,341.77,5012.55,1718948.68
9/4/2017,,,,,,,4-Sep,"1,333.10","1,119.10","146,007.80","1,028.90","1,655.10","1,274.60","85,400.00","8,692.30","4,573.20","4,999.50","17,786,218.30","4,896.30","44,243.60","30,300,693.10","23,504.20","1,510,335.40","77,048.20","17,303.60","1,676.10",9/4/2017,1504483200,BTCUSDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61,9/4/2017,1504483200,ETHUSDT,341.77,344.55,267.94,283.77,6366.69,1893325.25
9/5/2017,6414.819824,6426.509766,6334.589844,6375.569824,6375.569824,1886950000,5-Sep,"1,335.60","1,120.20","145,381.30","1,025.10","1,648.50","1,276.70","85,633.80","8,750.00","4,577.90","5,008.70","17,812,895.50","4,905.50","44,313.50","30,355,043.70","23,549.10","1,510,573.40","76,536.20","17,211.90","1,665.30",9/5/2017,1504569600,BTCUSDT,4100.11,4484.99,3603,4366.47,1175.2,4863148.22,9/5/2017,1504569600,ETHUSDT,283.77,321.52,235.55,312.09,7840.86,2253410.75
9/6/2017,6394.350098,6407.399902,6356.200195,6393.310059,6393.310059,1906030000,6-Sep,"1,337.90","1,120.70","145,591.50","1,023.60","1,636.70","1,276.00","85,782.90","8,728.90","4,592.60","5,017.30","17,837,552.10","4,913.90","44,349.70","30,416,016.40","23,606.40","1,519,128.50","76,724.00","17,176.30","1,674.30",9/6/2017,1504656000,BTCUSDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96,9/6/2017,1504656000,ETHUSDT,312.09,336.34,312.09,335,5243.66,1714528.14
9/7/2017,6402.939941,6413.069824,6379.810059,6397.870117,6397.870117,1998380000,7-Sep,"1,343.50","1,118.90","145,695.90","1,024.80","1,632.20","1,280.00","86,041.10","8,733.60","4,582.80","5,038.30","17,872,580.50","4,934.70","44,449.70","30,534,396.30","23,712.80","1,517,483.30","76,522.40","17,253.90","1,672.00",9/7/2017,1504742400,BTCUSDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92,9/7/2017,1504742400,ETHUSDT,335,342.5,320.17,334.49,2977.82,985179.06
9/8/2017,6389.649902,6391.410156,6354.959961,6360.189941,6360.189941,1785560000,8-Sep,"1,346.30","1,120.00","145,267.10","1,021.10","1,636.00","1,275.90","85,937.90","8,702.80","4,596.80","5,048.60","17,780,596.90","4,944.70","44,560.90","30,594,204.40","23,761.30","1,517,963.90","77,148.50","17,417.10","1,669.60",9/8/2017,1504828800,BTCUSDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93,9/8/2017,1504828800,ETHUSDT,334.49,335.1,272,302.99,4874.53,1481290.06
9/9/2017,,,,,,,9-Sep,,,,,,,,,,,,,,,,,,,,9/9/2017,1504915200,BTCUSDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35,9/9/2017,1504915200,ETHUSDT,302.99,307,281.66,296.74,2713.25,805572.88
9/10/2017,,,,,,,10-Sep,,,,,,,,,,,,,,,,,,,,9/10/2017,1505001600,BTCUSDT,4258.81,4283,3801,4130.37,648.94,2653218.2,9/10/2017,1505001600,ETHUSDT,296.74,302.78,261.03,293.5,4060.25,1155244.93
9/11/2017,6411.180176,6439.109863,6410.709961,6432.259766,6432.259766,1819300000,11-Sep,"1,334.20","1,113.40","145,287.70","1,011.90","1,619.50","1,270.20","85,275.40","8,704.10","4,545.40","5,003.70","17,561,406.90","4,900.50","44,202.00","30,319,693.90","23,562.00","1,510,047.20","76,263.70","17,261.20","1,661.80",9/11/2017,1505088000,BTCUSDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88,9/11/2017,1505088000,ETHUSDT,293.5,304.98,285.21,297.3,4779.63,1421764.78
9/12/2017,6448.810059,6455.029785,6429.540039,6454.279785,6454.279785,1745090000,12-Sep,"1,326.50","1,109.70","145,802.20",999.9,"1,610.80","1,273.00","84,942.10","8,665.90","4,558.80","4,974.60","17,506,483.80","4,872.20","43,925.70","30,145,375.80","23,406.10","1,496,955.30","76,427.20","17,276.00","1,651.00",9/12/2017,1505174400,BTCUSDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23,9/12/2017,1505174400,ETHUSDT,297.3,316.46,286.01,293.96,5140.78,1562612.65
9/13/2017,6440.720215,6460.419922,6433.200195,6460.189941,6460.189941,1942090000,13-Sep,"1,327.60","1,114.00","146,807.10","1,003.40","1,618.70","1,278.80","84,961.50","8,669.70","4,586.30","4,978.60","17,524,985.00","4,876.10","43,922.00","30,169,233.10","23,444.50","1,498,007.10","76,793.80","17,469.80","1,660.20",9/13/2017,1505260800,BTCUSDT,4163.72,4165.38,3760,3944.69,901.25,3522155.98,9/13/2017,1505260800,ETHUSDT,293.96,294.5,257.05,276.91,6341.5,1730175.07
9/14/2017,6439.459961,6455.319824,6424.040039,6429.080078,6429.080078,1809170000,14-Sep,"1,324.60","1,115.70","146,568.10",992.2,"1,615.00","1,280.60","84,887.10","8,682.60","4,567.60","4,967.30","17,547,635.80","4,865.10","43,849.20","30,102,381.10","23,338.60","1,500,251.20","76,135.10","17,427.80","1,660.20",9/14/2017,1505347200,BTCUSDT,3944.69,3993,3165.13,3189.02,1642.54,5831847.65,9/14/2017,1505347200,ETHUSDT,276.91,283.77,215,215.21,12488.22,3082667.27
9/15/2017,6426.160156,6464.27002,6419.649902,6448.470215,6448.470215,2821110000,15-Sep,"1,322.90","1,105.70","146,895.90",973.1,"1,610.50","1,270.30","84,819.50","8,654.90","4,552.70","4,961.20","17,514,532.10","4,858.80","43,746.60","30,061,762.90","23,374.80","1,497,002.90","76,196.10","17,405.40","1,652.80",9/15/2017,1505433600,BTCUSDT,3189.02,3856,2817,3700,1949.32,6525220.95,9/15/2017,1505433600,ETHUSDT,215.21,270.93,192,253,14101.49,3291332.29
9/16/2017,,,,,,,16-Sep,,,,,,,,,,,,,,,,,,,,9/16/2017,1505520000,BTCUSDT,3700,3950,3470.66,3714.95,1280.1,4739326.89,9/16/2017,1505520000,ETHUSDT,253,271.81,235.51,249.31,10265.41,2621693.27
9/17/2017,,,,,,,17-Sep,,,,,,,,,,,,,,,,,,,,9/17/2017,1505606400,BTCUSDT,3714.95,3748.21,3499.02,3699.99,676.16,2445321.19,9/17/2017,1505606400,ETHUSDT,249.31,264.39,239.02,257.55,4589.96,1143692.64
9/18/2017,6460.100098,6477.77002,6438.410156,6454.640137,6454.640137,1874440000,18-Sep,"1,312.10","1,097.60","146,391.00",969.6,"1,602.80","1,259.90","84,135.10","8,610.00","4,570.40","4,920.80","17,389,915.40","4,819.30","43,404.30","29,819,437.30","23,140.50","1,478,277.20","76,192.10","17,434.50","1,645.80",9/18/2017,1505692800,BTCUSDT,3699.99,4123.2,3690,4035.01,1027.67,4059703.98,9/18/2017,1505692800,ETHUSDT,257.55,306.22,257.11,294.57,4121.19,1181549.67
9/19/2017,6465.569824,6467.790039,6446.75,6461.319824,6461.319824,1809710000,19-Sep,"1,309.60","1,093.30","145,994.20",968.5,"1,609.20","1,260.80","84,215.50","8,625.20","4,580.90","4,911.10","17,389,521.70","4,810.20","43,321.60","29,763,930.70","23,157.00","1,481,484.80","76,241.60","17,458.70","1,636.80",9/19/2017,1505779200,BTCUSDT,4035.01,4089.97,3830.91,3910.04,898.81,3544361.84,9/19/2017,1505779200,ETHUSDT,294.57,300,277.41,284,1858.5,532540.71
9/20/2017,6459.740234,6466.049805,6414.22998,6456.040039,6456.040039,2052520000,20-Sep,"1,311.30","1,093.10","146,085.40",966.7,"1,606.50","1,261.30","84,283.80","8,620.80","4,551.30","4,917.50","17,418,651.00","4,816.30","43,364.70","29,804,533.30","23,137.90","1,479,474.00","75,894.70","17,394.40","1,625.20",9/20/2017,1505865600,BTCUSDT,3910.04,4046.08,3820,3900,719.59,2834260.05,9/20/2017,1505865600,ETHUSDT,284,294,275.91,282,1054.54,301038.78
9/21/2017,6448.569824,6448.569824,6405.299805,6422.689941,6422.689941,1772790000,21-Sep,"1,292.10","1,083.80","145,264.30",954,"1,594.80","1,257.20","83,728.10","8,521.40","4,535.40","4,845.60","17,163,608.40","4,746.00","42,813.70","29,371,367.80","22,831.40","1,463,690.50","75,056.50","17,168.80","1,628.10",9/21/2017,1505952000,BTCUSDT,3900,3910,3567,3609.99,971.06,3642671.89,9/21/2017,1505952000,ETHUSDT,282,287,252.1,257,1909.37,515321.69
9/22/2017,6401.439941,6429.540039,6400.810059,6426.919922,6426.919922,1639100000,22-Sep,"1,294.80","1,081.80","144,933.40",957.1,"1,592.90","1,254.50","83,890.10","8,537.50","4,526.40","4,855.80","17,236,375.00","4,755.80","42,864.30","29,435,331.40","22,866.20","1,471,540.00","74,441.30","17,110.80","1,622.90",9/22/2017,1506038400,BTCUSDT,3609.99,3750,3505.55,3595.87,833.3,3011224.81,9/22/2017,1506038400,ETHUSDT,257,272.97,253.01,264,1463.53,382707.68
